Page / Section	English Content	Arabic Translation
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Mo	اث
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Tu	ثل
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	We	أر
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Th	خم
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Fr	جم
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Sa	سب
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Su	أح
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	calendar	التقويم
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	King Khalid International Airport (RUH)	مطار الملك خالد الدولي (RUH)
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	King Abdulaziz International Airport (JED)	مطار الملك عبدالعزيز الدولي (JED)
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	King Fahd International Airport (DMM)	مطار الملك فهد الدولي (DMM)
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Prince Mohammad bin Abdulaziz International Airport (MED)	مطار الأمير محمد بن عبدالعزيز الدولي (MED)
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Abha International Airport (AHB)	مطار أبها الدولي (AHB)
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Taif Regional Airport (TIF)	مطار الطائف الإقليمي (TIF)
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Tabuk Regional Airport (TUU)	مطار تبوك الإقليمي (TUU)
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Hail Regional Airport (HAS)	مطار حائل الإقليمي (HAS)
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Qassim Airport (ELQ)	مطار القصيم (ELQ)
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Yanbu Airport (YNB)	مطار ينبع (YNB)
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Al-Ula International Airport (ULH)	مطار العُلا الدولي (ULH)
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Jizan Regional Airport (GIZ)	مطار جيزان الإقليمي (GIZ)
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Najran Airport (EAM)	مطار نجران (EAM)
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Al Baha Airport (ABT)	مطار الباحة (ABT)
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Arar Domestic Airport (RAE)	مطار عرعر المحلي (RAE)
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Gurayat Domestic Airport (URY)	مطار القريات المحلي (URY)
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Wadi ad-Dawasir Airport (WAE)	مطار وادي الدواسر (WAE)
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Al-Jawf Domestic Airport (AJF)	مطار الجوف المحلي (AJF)
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Sharurah Airport (SHW)	مطار شرورة (SHW)
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Rafha Domestic Airport (RAH)	مطار رفحاء المحلي (RAH)
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Riyadh	الرياض
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Jeddah	جدة
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Dammam	الدمام
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Makkah	مكة
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Madinah	المدينة
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Al Khobar	الخبر
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Tabuk	تبوك
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Hail	حائل
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Abha	أبها
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Yanbu	ينبع
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Taif	الطائف
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Jizan	جيزان
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Al-Ula	العُلا
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Najran	نجران
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Al Baha	الباحة
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Select Your Ride	اختر سيارتك
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Choose your preferred vehicle and provide passenger details.	اختر السيارة اللي تناسبك وكمل بيانات الركاب.
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Choose the category that best fits your journey.	اختر الفئة اللي تناسب مشوارك.
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	First Class	الفئة الأولى
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Efficient transportation for daily commutes and short city trips.	تنقّل راقٍ ومريح للمشاوير اليومية والقصيرة.
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Business Class	فئة الأعمال
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Premium sedans with extra legroom, tailored for business.	سيدان فاخرة بمساحة أوسع ومناسبة للأعمال.
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Van	فان
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Chauffeur-driven MPVs for groups with ample luggage.	سيارات عائلية مع سائق للمجموعات والعفش.
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Sedan	سيدان
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Luxury sedans featuring leather privacy glass.	سيدان فاخرة بمقاعد جلد وخصوصية عالية.
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	SUV	دفع رباعي
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Chauffeur-driven SUVs for groups with ample luggage.	سيارات واسعة للمجموعات والعفش.
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Available 1 vehicles.	السيارات المتاحة من فئة 1.
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Available 2 vehicles.	السيارات المتاحة من فئة 2.
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Available 4 vehicles.	السيارات المتاحة من فئة 4.
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	2 passengers and 4 bags	راكبين و٤ شنط
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Review Your Booking	راجع حجزك
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Pickup	الانطلاق
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Destination	الوجهة
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Drop Off	التوصيل
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Flight	الرحلة
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Flight Date	تاريخ الرحلة
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Pickup Date	تاريخ المشوار
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Pickup Time	وقت الانطلاق
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Duration	المدة
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Journey	نوع المشوار
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Category	الفئة
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Vehicle	السيارة
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	City-to-City	من مدينة لمدينة
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	One Way	اتجاه واحد
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	King Fahd Road, Riyadh	طريق الملك فهد، الرياض
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Riyadh Front, Riyadh	واجهة الرياض، الرياض
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Riyadh, Saudi Arabia	الرياض، السعودية
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Jeddah, Saudi Arabia	جدة، السعودية
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Riyadh International Airport, RUH	مطار الملك خالد الدولي، RUH
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Fare Summary	ملخص السعر
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Your fare for this airport transfer.	هذا سعر توصيلة المطار.
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Your fare for this hourly booking.	هذا سعر حجز السائق بالساعة.
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Your fare for this city-to-city journey.	هذا سعر مشوارك بين المدن.
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Your fare for this day service.	هذا سعر الخدمة اليومية.
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Your fare for this one-way ride.	هذا سعر المشوار باتجاه واحد.
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Transfer Fare	سعر التوصيلة
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Hourly Fare	سعر الحجز بالساعة
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Journey Fare	سعر الرحلة
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Day Service Fare	سعر الخدمة اليومية
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Ride Fare	سعر المشوار
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Service Fee	رسوم الخدمة
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Airport Service	خدمة المطار
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	VAT (15%)	ضريبة القيمة المضافة (١٥٪)
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Total Fare	الإجمالي
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Payment Method	طريقة الدفع
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Card Number	رقم البطاقة
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Name on Card	الاسم على البطاقة
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Sultan Ali	سلطان علي
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Expiry Date	تاريخ الانتهاء
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	CVV	رمز الأمان
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Secure verification	تحقق آمن
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Enter the one-time password sent to your phone.	دخل رمز التحقق اللي أرسلناه لجوالك.
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	We've sent a 6-digit verification code.	أرسلنا لك رمز تحقق من ٦ أرقام.
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	OTP digit 1	رقم التحقق 1
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	OTP digit 2	رقم التحقق 2
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	OTP digit 4	رقم التحقق 4
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Didn't get the code? Resend in 00:45	ما وصلك الرمز؟ تقدر تعيد الإرسال بعد 00:45
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Resend OTP	أعد إرسال الرمز
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Request Received	تم استلام الطلب
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	We've received your booking request.	استلمنا طلب حجزك.
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Our team will find the best chauffeur for your journey and assign one to your booking.	فريقنا بيختار لك أنسب سائق للمشوار ويضيفه لحجزك.
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Booking Reference	رقم الحجز
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Track Your Journey In The Mobile App	تابع مشوارك من التطبيق
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	For live chauffeur and vehicle tracking, download the WhiteLine app.	حمّل تطبيق وايت لاين وتابع السائق والسيارة مباشرة.
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Download on the	حمّل من
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Get it on	متوفر على
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	Download App	حمّل التطبيق
City to City Page — Booking Dialog (whiteline.markition.com/services/city-to-city)	White Line mobile app	تطبيق وايت لاين للجوال
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Airport Transfer	توصيل المطار
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Hourly Chauffeur	سائق بالساعة
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	City-to-City	من مدينة لمدينة
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Day Service	خدمة يومية
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	One Way Ride	مشوار باتجاه واحد
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	booking	حجز
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Trip Details	تفاصيل المشوار
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Tell us where and when you need your ride.	علّمنا من وين ومتى تبي مشوارك.
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Pickup Airport	مطار الاستقبال
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Select Airport	اختر المطار
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Pickup Location	موقع الانطلاق
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Select pickup location	اختر موقع الانطلاق
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Destination	الوجهة
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Drop-off Location	موقع التوصيل
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Drop-off Location (Optional)	موقع التوصيل (اختياري)
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Select drop-off location	اختر موقع التوصيل
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Enter destination	اكتب الوجهة
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Pickup Date	تاريخ المشوار
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Flight Date	تاريخ الرحلة
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Pickup Time	وقت الانطلاق
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Flight Number	رقم الرحلة
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	✈  e.g. PK-753	✈  مثال PK-753
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	From	من
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Flight route preview	معاينة مسار الرحلة
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Select Duration	اختر المدة
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	hours	ساعات
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	included	مشمولة
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Need more than 2 hours?	تحتاج أكثر من ساعتين؟
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Choose Half Day or Full Day options	اختر نصف يوم أو يوم كامل
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Booking Duration	مدة الحجز
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Half Day	نصف يوم
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Full Day	يوم كامل
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Up to 4 hours	إلى ٤ ساعات
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Up to 10 hours	إلى ١٠ ساعات
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Are you making this booking for yourself or a guest?	الحجز لك أو لضيف؟
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	For Myself	لي
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	I'll be travelling	أنا اللي بسافر
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	For a Guest	لضيف
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Someone else will be travelling	شخص ثاني هو اللي بيسافر
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Guest Details	بيانات الضيف
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Please enter your guest's details	دخل بيانات الضيف
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Full Name	الاسم الكامل
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Guest name	اسم الضيف
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Phone Number	رقم الجوال
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Email Address	البريد الإلكتروني
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Back	رجوع
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Continue	كمّل
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	km	كم
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Enter a valid email address.	دخل بريد إلكتروني صحيح.
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Enter at least 8 digits.	دخل ٨ أرقام على الأقل.
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Enter at least 1 characters.	دخل 1 أحرف على الأقل.
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Enter at least 2 characters.	دخل 2 أحرف على الأقل.
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Enter at least 4 characters.	دخل 4 أحرف على الأقل.
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Card number must contain 16 digits.	رقم البطاقة يجب أن يحتوي على ١٦ رقمًا.
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Enter at least 2 characters.	دخل حرفين على الأقل.
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Use MM/YY format.	استخدم الصيغة MM/YY.
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Enter 3 or 4 digits.	دخل ٣ أو ٤ أرقام.
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Mo	اث
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Tu	ثل
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	We	أر
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Th	خم
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Fr	جم
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Sa	سب
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Su	أح
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	calendar	التقويم
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	King Khalid International Airport (RUH)	مطار الملك خالد الدولي (RUH)
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	King Abdulaziz International Airport (JED)	مطار الملك عبدالعزيز الدولي (JED)
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	King Fahd International Airport (DMM)	مطار الملك فهد الدولي (DMM)
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Prince Mohammad bin Abdulaziz International Airport (MED)	مطار الأمير محمد بن عبدالعزيز الدولي (MED)
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Abha International Airport (AHB)	مطار أبها الدولي (AHB)
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Taif Regional Airport (TIF)	مطار الطائف الإقليمي (TIF)
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Tabuk Regional Airport (TUU)	مطار تبوك الإقليمي (TUU)
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Hail Regional Airport (HAS)	مطار حائل الإقليمي (HAS)
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Qassim Airport (ELQ)	مطار القصيم (ELQ)
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Yanbu Airport (YNB)	مطار ينبع (YNB)
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Al-Ula International Airport (ULH)	مطار العُلا الدولي (ULH)
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Jizan Regional Airport (GIZ)	مطار جيزان الإقليمي (GIZ)
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Najran Airport (EAM)	مطار نجران (EAM)
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Al Baha Airport (ABT)	مطار الباحة (ABT)
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Arar Domestic Airport (RAE)	مطار عرعر المحلي (RAE)
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Gurayat Domestic Airport (URY)	مطار القريات المحلي (URY)
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Wadi ad-Dawasir Airport (WAE)	مطار وادي الدواسر (WAE)
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Al-Jawf Domestic Airport (AJF)	مطار الجوف المحلي (AJF)
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Sharurah Airport (SHW)	مطار شرورة (SHW)
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Rafha Domestic Airport (RAH)	مطار رفحاء المحلي (RAH)
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Riyadh	الرياض
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Jeddah	جدة
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Dammam	الدمام
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Makkah	مكة
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Madinah	المدينة
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Al Khobar	الخبر
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Tabuk	تبوك
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Hail	حائل
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Abha	أبها
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Yanbu	ينبع
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Taif	الطائف
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Jizan	جيزان
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Al-Ula	العُلا
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Najran	نجران
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Al Baha	الباحة
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Select Your Ride	اختر سيارتك
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Choose your preferred vehicle and provide passenger details.	اختر السيارة اللي تناسبك وكمل بيانات الركاب.
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Choose the category that best fits your journey.	اختر الفئة اللي تناسب مشوارك.
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	First Class	الفئة الأولى
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Efficient transportation for daily commutes and short city trips.	تنقّل راقٍ ومريح للمشاوير اليومية والقصيرة.
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Business Class	فئة الأعمال
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Premium sedans with extra legroom, tailored for business.	سيدان فاخرة بمساحة أوسع ومناسبة للأعمال.
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Van	فان
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Chauffeur-driven MPVs for groups with ample luggage.	سيارات عائلية مع سائق للمجموعات والعفش.
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Sedan	سيدان
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Luxury sedans featuring leather privacy glass.	سيدان فاخرة بمقاعد جلد وخصوصية عالية.
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	SUV	دفع رباعي
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Chauffeur-driven SUVs for groups with ample luggage.	سيارات واسعة للمجموعات والعفش.
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Available 1 vehicles.	السيارات المتاحة من فئة 1.
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Available 2 vehicles.	السيارات المتاحة من فئة 2.
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Available 4 vehicles.	السيارات المتاحة من فئة 4.
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	2 passengers and 4 bags	راكبين و٤ شنط
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Review Your Booking	راجع حجزك
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Pickup	الانطلاق
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Destination	الوجهة
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Drop Off	التوصيل
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Flight	الرحلة
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Flight Date	تاريخ الرحلة
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Pickup Date	تاريخ المشوار
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Pickup Time	وقت الانطلاق
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Duration	المدة
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Journey	نوع المشوار
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Category	الفئة
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Vehicle	السيارة
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	City-to-City	من مدينة لمدينة
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	One Way	اتجاه واحد
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	King Fahd Road, Riyadh	طريق الملك فهد، الرياض
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Riyadh Front, Riyadh	واجهة الرياض، الرياض
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Riyadh, Saudi Arabia	الرياض، السعودية
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Jeddah, Saudi Arabia	جدة، السعودية
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Riyadh International Airport, RUH	مطار الملك خالد الدولي، RUH
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Fare Summary	ملخص السعر
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Your fare for this airport transfer.	هذا سعر توصيلة المطار.
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Your fare for this hourly booking.	هذا سعر حجز السائق بالساعة.
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Your fare for this city-to-city journey.	هذا سعر مشوارك بين المدن.
Day Service Page — Booking Dialog (whiteline.markition.com/services/day-service)	Your fare for this day service.	هذا سعر الخدمة اليومية.
